split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
valid,280,1,19.67572898864746,38.035658429777925,77.2,8.4
test,280,1,-1.0,32.9520295202952,76.03583426651736,7.166853303471445
valid,504,2,15.250906671796526,54.01315789473684,77.0,16.8
test,504,2,-1.0,50.13623978201634,77.15565509518477,15.11758118701008
valid,691,3,13.895863793113016,62.98168035375869,76.8,25.6
test,691,3,-1.0,61.94255479969765,74.80403135498321,25.64389697648376
valid,851,4,12.955751740932465,69.71637694419029,81.8,34.599999999999994
test,851,4,-1.0,69.28901200369344,78.05151175811869,34.04255319148936
valid,991,5,12.330984238215855,73.4755181736257,83.39999999999999,39.6
test,991,5,-1.0,73.4315330060011,79.28331466965287,40.089585666293395
valid,1116,6,11.991912719726562,76.2076207620762,85.39999999999999,45.0
test,1116,6,-1.0,75.25979945305379,80.62709966405374,42.44120940649496
valid,1228,7,11.556946554354258,79.33194154488517,85.6,47.199999999999996
test,1228,7,-1.0,78.25613079019074,81.74692049272116,46.920492721164614
valid,1330,8,11.355396710190119,79.236276849642,86.0,48.0
test,1330,8,-1.0,77.8928247048138,83.2026875699888,47.816349384098544
valid,1424,9,11.1956335432986,80.84599344652963,86.4,49.8
test,1424,9,-1.0,78.79666545849946,82.6427771556551,48.82418812989921
valid,1511,10,10.99025544352915,82.13222156045263,87.4,52.400000000000006
test,1511,10,-1.0,80.6591814559942,84.43449048152296,52.63157894736842
valid,1591,11,10.713853573799133,83.10991957104558,89.4,54.800000000000004
test,1591,11,-1.0,82.01048634966551,84.99440089585666,53.63941769316909
valid,1666,12,10.687355194091797,85.1972708395135,88.4,57.199999999999996
test,1666,12,-1.0,83.41146772448612,85.21836506159015,55.09518477043673
valid,1736,13,10.525617054530553,84.91851851851851,89.60000000000001,57.199999999999996
test,1736,13,-1.0,82.85662889008815,86.89809630459126,55.76707726763718
valid,1802,14,10.442844781008633,84.63819691577699,88.6,56.599999999999994
test,1802,14,-1.0,83.19856244384546,86.89809630459126,56.774916013437846
valid,1865,15,10.362999779837471,85.59597752144334,90.0,59.4
